document_id,language,axis,parent_category_id,topic_id,topic_similarity,source_quality
ZH_0053,zh,technical,T06,TR-T06-ZH-001,0.2429,high
ZH_0103,zh,technical,T06,TR-T06-ZH-001,0.223,medium
ZH_0124,zh,technical,T06,TR-T06-ZH-001,0.2296,high
ZH_0141,zh,technical,T06,TR-T06-ZH-001,0.2658,high
ZH_0143,zh,technical,T06,TR-T06-ZH-001,0.263,high
ZH_0159,zh,technical,T06,TR-T06-ZH-001,0.2428,high
ZH_0184,zh,technical,T06,TR-T06-ZH-001,0.2383,high
ZH_0310,zh,technical,T06,TR-T06-ZH-001,0.2221,high
ZH_0323,zh,technical,T06,TR-T06-ZH-001,0.2336,medium
ZH_0506,zh,technical,T06,TR-T06-ZH-001,0.2322,high
ZH_0535,zh,technical,T06,TR-T06-ZH-001,0.2544,high
ZH_0584,zh,technical,T06,TR-T06-ZH-001,0.2234,medium
ZH_0616,zh,technical,T06,TR-T06-ZH-001,0.2459,medium
ZH_0631,zh,technical,T06,TR-T06-ZH-001,0.2395,high
ZH_0678,zh,technical,T06,TR-T06-ZH-001,0.2549,high
ZH_0685,zh,technical,T06,TR-T06-ZH-001,0.2551,high
ZH_0688,zh,technical,T06,TR-T06-ZH-001,0.2377,medium
ZH_0739,zh,technical,T06,TR-T06-ZH-001,0.2588,high
ZH_0795,zh,technical,T06,TR-T06-ZH-001,0.2463,high
ZH_0829,zh,technical,T06,TR-T06-ZH-001,0.2257,high
ZH_0890,zh,technical,T06,TR-T06-ZH-001,0.2467,high
ZH_0899,zh,technical,T06,TR-T06-ZH-001,0.2637,medium
ZH_0916,zh,technical,T06,TR-T06-ZH-001,0.2401,high
ZH_0717,zh,technical,T07,TR-T07-ZH-001,1.0,high
ZH_0210,zh,technical,T11,TR-T11-ZH-001,0.4255,medium
ZH_0333,zh,technical,T11,TR-T11-ZH-001,0.4218,medium
ZH_0564,zh,technical,T11,TR-T11-ZH-001,0.4221,medium
ZH_0575,zh,technical,T11,TR-T11-ZH-001,0.4302,high
ZH_0600,zh,technical,T11,TR-T11-ZH-001,0.4189,medium
ZH_0879,zh,technical,T11,TR-T11-ZH-001,0.4166,medium
ZH_0084,zh,technical,T12,TR-T12-ZH-001,0.2769,medium
ZH_0276,zh,technical,T12,TR-T12-ZH-001,0.2749,medium
ZH_0283,zh,technical,T12,TR-T12-ZH-001,0.3157,high
ZH_0284,zh,technical,T12,TR-T12-ZH-001,0.3261,high
ZH_0342,zh,technical,T12,TR-T12-ZH-001,0.2774,medium
ZH_0355,zh,technical,T12,TR-T12-ZH-001,0.2719,high
ZH_0414,zh,technical,T12,TR-T12-ZH-001,0.269,medium
ZH_0481,zh,technical,T12,TR-T12-ZH-001,0.2635,medium
ZH_0594,zh,technical,T12,TR-T12-ZH-001,0.2574,medium
ZH_0627,zh,technical,T12,TR-T12-ZH-001,0.2706,medium
ZH_0655,zh,technical,T12,TR-T12-ZH-001,0.3092,high
ZH_0667,zh,technical,T12,TR-T12-ZH-001,0.2735,high
ZH_0744,zh,technical,T12,TR-T12-ZH-001,0.3016,high
ZH_0871,zh,technical,T12,TR-T12-ZH-001,0.2774,high
ZH_0894,zh,technical,T12,TR-T12-ZH-001,0.2578,medium
ZH_0050,zh,technical,T13,TR-T13-ZH-001,0.3393,medium
ZH_0157,zh,technical,T13,TR-T13-ZH-001,0.3449,medium
ZH_0196,zh,technical,T13,TR-T13-ZH-001,0.3427,medium
ZH_0208,zh,technical,T13,TR-T13-ZH-001,0.3432,medium
ZH_0281,zh,technical,T13,TR-T13-ZH-001,0.359,medium
ZH_0438,zh,technical,T13,TR-T13-ZH-001,0.3641,medium
ZH_0691,zh,technical,T13,TR-T13-ZH-001,0.3569,medium
ZH_0788,zh,technical,T13,TR-T13-ZH-001,0.3557,medium
ZH_0934,zh,technical,T13,TR-T13-ZH-001,0.3485,medium
ZH_0067,zh,technical,T16,TR-T16-ZH-001,0.4052,medium
ZH_0109,zh,technical,T16,TR-T16-ZH-001,0.501,medium
ZH_0290,zh,technical,T16,TR-T16-ZH-001,0.4123,medium
ZH_0322,zh,technical,T16,TR-T16-ZH-001,0.4142,medium
ZH_0390,zh,technical,T16,TR-T16-ZH-001,0.5049,medium
ZH_0998,zh,technical,T16,TR-T16-ZH-001,0.4043,high
ZH_0046,zh,technical,T17,TR-T17-ZH-001,0.3812,medium
ZH_0216,zh,technical,T17,TR-T17-ZH-001,0.4211,medium
ZH_0483,zh,technical,T17,TR-T17-ZH-001,0.4148,medium
ZH_0488,zh,technical,T17,TR-T17-ZH-001,0.3884,high
ZH_0664,zh,technical,T17,TR-T17-ZH-001,0.4211,medium
ZH_0917,zh,technical,T17,TR-T17-ZH-001,0.4006,medium
ZH_0994,zh,technical,T17,TR-T17-ZH-001,0.3894,medium
ZH_0474,zh,technical,T20,TR-T20-ZH-001,0.3256,medium
ZH_0475,zh,technical,T20,TR-T20-ZH-001,0.3182,medium
ZH_0512,zh,technical,T20,TR-T20-ZH-001,0.3194,medium
ZH_0516,zh,technical,T20,TR-T20-ZH-001,0.3219,medium
ZH_0570,zh,technical,T20,TR-T20-ZH-001,0.33,medium
ZH_0615,zh,technical,T20,TR-T20-ZH-001,0.3311,medium
ZH_0702,zh,technical,T20,TR-T20-ZH-001,0.3339,medium
ZH_0778,zh,technical,T20,TR-T20-ZH-001,0.3213,medium
ZH_0782,zh,technical,T20,TR-T20-ZH-001,0.3321,high
ZH_0856,zh,technical,T20,TR-T20-ZH-001,0.3237,medium
ZH_0935,zh,technical,T20,TR-T20-ZH-001,0.3257,medium
ZH_0975,zh,technical,T21,TR-T21-ZH-001,1.0,medium
ZH_0201,zh,technical,T25,TR-T25-ZH-001,0.5186,high
ZH_0224,zh,technical,T25,TR-T25-ZH-001,0.5185,medium
ZH_0432,zh,technical,T25,TR-T25-ZH-001,0.5078,medium
ZH_0499,zh,technical,T25,TR-T25-ZH-001,0.5082,medium
ZH_0319,zh,technical,T26,TR-T26-ZH-001,0.5314,high
ZH_0352,zh,technical,T26,TR-T26-ZH-001,0.5282,high
ZH_0541,zh,technical,T26,TR-T26-ZH-001,0.5439,high
ZH_0924,zh,technical,T26,TR-T26-ZH-001,0.5377,high
ZH_0093,zh,technical,T30,TR-T30-ZH-001,0.7303,high
ZH_0526,zh,technical,T30,TR-T30-ZH-001,0.7303,high
ZH_0052,zh,technical,T32,TR-T32-ZH-001,0.5879,medium
ZH_0203,zh,technical,T32,TR-T32-ZH-001,0.5855,high
