axis,seed,model,weights,n,accuracy,macro_f1,ARI,NMI,V_measure,homogeneity,completeness
technical,20260802,baseline,"(0.55, 0.45, 0)",60,0.85,0.6734641089904247,0.7971488469601677,0.9264547462181736,0.9264547462181735,0.8989850967221001,0.9556560498021668
technical,20260802,v7_conservative,"(0.45, 0.45, 0.1)",60,0.85,0.6734641089904247,0.7971488469601677,0.9264547462181736,0.9264547462181735,0.8989850967221001,0.9556560498021668
technical,17,baseline,"(0.55, 0.45, 0)",60,0.8666666666666667,0.7027836257309942,0.8035739692115073,0.9335637589205611,0.9335637589205609,0.9063745800180579,0.9624346114460662
technical,17,v7_conservative,"(0.35, 0.45, 0.2)",60,0.85,0.7134603174603175,0.7095583207985778,0.9092503579836091,0.909250357983609,0.8776450931969805,0.9432169602124941
technical,42,baseline,"(0.55, 0.45, 0)",60,0.8,0.6228395061728395,0.7265579740130762,0.9039049691106251,0.9039049691106252,0.8812104065986195,0.9277993770795527
technical,42,v7_conservative,"(0.35, 0.45, 0.2)",60,0.85,0.6971781305114638,0.7834277096434568,0.9321932793410275,0.9321932793410275,0.9163576151929375,0.9485858832921286
application,20260802,baseline,"(0.55, 0.45, 0)",100,0.82,0.6924839528287803,0.6973238382700376,0.871761442488983,0.871761442488983,0.8530421321979713,0.8913207455707235
application,20260802,v7_conservative,"(0.35, 0.45, 0.2)",100,0.9,0.8211822660098523,0.8120573118655336,0.9297456977312082,0.9297456977312082,0.9175081190343274,0.9423141351618914
application,17,baseline,"(0.55, 0.45, 0)",100,0.76,0.6223562669214843,0.6540149968171033,0.8506027239828975,0.8506027239828975,0.8304620380719213,0.8717446107825899
application,17,v7_conservative,"(0.25, 0.45, 0.3)",100,0.86,0.8355858944368261,0.7806173504734046,0.9031816051729185,0.9031816051729183,0.8918106377881782,0.9148462869451661
application,42,baseline,"(0.55, 0.45, 0)",100,0.82,0.7230814453036677,0.7157187799438646,0.8754059993531712,0.8754059993531713,0.8616109972884272,0.8896499244932957
application,42,v7_conservative,"(0.3, 0.4, 0.3)",100,0.89,0.8511009566565123,0.8282785356842407,0.9168782529564414,0.9168782529564415,0.9043009149751253,0.9298103857077458
